id,age_group,age_num,sex,experiment,trial,condition,speaker,target_category,picked_category,correct
part_48_speaker_change,4,4.235388127853882,F,speaker_change,4,different_speaker,Tiger,fruits,fruits,1
part_49_speaker_change,4,4.684703196347032,M,speaker_change,1,different_speaker,Tiger,mammals,vehicles,0
part_49_speaker_change,4,4.684703196347032,M,speaker_change,2,same_speaker,Sheep,clothes,clothes,1
part_49_speaker_change,4,4.684703196347032,M,speaker_change,3,same_speaker,Cat,vehicles,fruits,0
part_49_speaker_change,4,4.684703196347032,M,speaker_change,4,different_speaker,Mouse,fruits,clothes,0
part_50_speaker_change,4,4.59703196347032,M,speaker_change,1,same_speaker,Frog,vehicles,vehicles,1
part_50_speaker_change,4,4.59703196347032,M,speaker_change,2,same_speaker,Elephant,mammals,fruits,0
part_50_speaker_change,4,4.59703196347032,M,speaker_change,3,different_speaker,Sheep,clothes,vehicles,0
part_50_speaker_change,4,4.59703196347032,M,speaker_change,4,different_speaker,Cat,fruits,vehicles,0
part_51_speaker_change,4,4.449086757990868,M,speaker_change,1,same_speaker,Bear,fruits,fruits,1
part_51_speaker_change,4,4.449086757990868,M,speaker_change,2,different_speaker,Cat,mammals,vehicles,0
part_51_speaker_change,4,4.449086757990868,M,speaker_change,3,same_speaker,Tiger,vehicles,vehicles,1
part_51_speaker_change,4,4.449086757990868,M,speaker_change,4,different_speaker,Frog,clothes,clothes,1
part_52_speaker_change,3,3.295662100456621,M,speaker_change,1,different_speaker,Bear,vehicles,vehicles,1
part_52_speaker_change,3,3.295662100456621,M,speaker_change,2,same_speaker,Frog,mammals,clothes,0
part_52_speaker_change,3,3.295662100456621,M,speaker_change,3,same_speaker,Mouse,clothes,vehicles,0
part_52_speaker_change,3,3.295662100456621,M,speaker_change,4,different_speaker,Sheep,fruits,fruits,1
part_53_speaker_change,3,3.4162100456621003,M,speaker_change,1,same_speaker,Mouse,fruits,fruits,1
part_53_speaker_change,3,3.4162100456621003,M,speaker_change,2,different_speaker,Tiger,vehicles,vehicles,1
