"","subid","subage","experiment","trial","agent","phase","slide","distribution","target1","target2","target3","item_l","item_m","item_r","correctItem","pick","pickPos","pickCat","correct_item","correct_target1","correct_target2","correct_target3","lastInputCat","same_lastInput"
"114","180831_2","4","distribution_kids_simple",1,"Frog","training","2","c(6, 0, 0)","mammals","fruits","furniture","drawer","monkey","melon","monkey","monkey","item_m","mammals",1,NA,NA,NA,NA,NA
"115","180831_2","4","distribution_kids_simple",1,"Frog","training","3","c(6, 0, 0)","mammals","fruits","furniture","bed","dog","orange","dog","dog","item_m","mammals",1,NA,NA,NA,NA,NA
"116","180831_2","4","distribution_kids_simple",1,"Frog","training","4","c(6, 0, 0)","mammals","fruits","furniture","cow","strawberry","closet","cow","cow","item_l","mammals",1,NA,NA,NA,NA,NA
"117","180831_2","4","distribution_kids_simple",1,"Frog","training","5","c(6, 0, 0)","mammals","fruits","furniture","horse","cherry","sofa","horse","horse","item_l","mammals",1,NA,NA,NA,NA,NA
"118","180831_2","4","distribution_kids_simple",1,"Frog","training","6","c(6, 0, 0)","mammals","fruits","furniture","apple","elephant","stool","elephant","elephant","item_m","mammals",1,NA,NA,NA,NA,NA
"119","180831_2","4","distribution_kids_simple",1,"Frog","test","choice","c(6, 0, 0)","mammals","fruits","furniture","table","bear","banana",NA,"bear","item_m","mammals",NA,1,0,0,"mammals",1
"120","180831_2","4","distribution_kids_simple",2,"Bunny","training","1","c(6, 0, 0)","fruits","furniture","instruments","guitar","drawer","orange","orange","orange","item_r","fruits",1,NA,NA,NA,NA,NA
"121","180831_2","4","distribution_kids_simple",2,"Bunny","training","2","c(6, 0, 0)","fruits","furniture","instruments","stool","strawberry","xylophone","strawberry","strawberry","item_m","fruits",1,NA,NA,NA,NA,NA
"122","180831_2","4","distribution_kids_simple",2,"Bunny","training","3","c(6, 0, 0)","fruits","furniture","instruments","lamp","melon","piano","melon","melon","item_m","fruits",1,NA,NA,NA,NA,NA
"123","180831_2","4","distribution_kids_simple",2,"Bunny","training","4","c(6, 0, 0)","fruits","furniture","instruments","bed","apple","violin","apple","apple","item_m","fruits",1,NA,NA,NA,NA,NA
"124","180831_2","4","distribution_kids_simple",2,"Bunny","training","5","c(6, 0, 0)","fruits","furniture","instruments","chair","drum","cherry","cherry","cherry","item_r","fruits",1,NA,NA,NA,NA,NA
"125","180831_2","4","distribution_kids_simple",2,"Bunny","training","6","c(6, 0, 0)","fruits","furniture","instruments","flute","pineapple","table","pineapple","pineapple","item_m","fruits",1,NA,NA,NA,NA,NA
"126","180831_2","4","distribution_kids_simple",2,"Bunny","test","choice","c(6, 0, 0)","fruits","furniture","instruments","trumpet","closet","banana",NA,"banana","item_r","fruits",NA,1,0,0,"fruits",1
"127","180831_2","4","distribution_kids_simple",3,"Sheep","training","1","c(6, 0, 0)","furniture","instruments","clothes","stool","shoe","guitar","stool","stool","item_l","furniture",1,NA,NA,NA,NA,NA
"128","180831_2","4","distribution_kids_simple",3,"Sheep","training","2","c(6, 0, 0)","furniture","instruments","clothes","chair","flute","sock","chair","chair","item_l","furniture",1,NA,NA,NA,NA,NA
"129","180831_2","4","distribution_kids_simple",3,"Sheep","training","3","c(6, 0, 0)","furniture","instruments","clothes","drum","dress","sofa","sofa","sofa","item_r","furniture",1,NA,NA,NA,NA,NA
"130","180831_2","4","distribution_kids_simple",3,"Sheep","training","4","c(6, 0, 0)","furniture","instruments","clothes","skirt","closet","piano","closet","closet","item_m","furniture",1,NA,NA,NA,NA,NA
"131","180831_2","4","distribution_kids_simple",3,"Sheep","training","5","c(6, 0, 0)","furniture","instruments","clothes","violin","jacket","bed","bed","bed","item_r","furniture",1,NA,NA,NA,NA,NA
